CONCEPT,LABEL,ACRONYM,SYNONYM,DOMAIN,DEFINITION,EXAMPLE,NOTE,RELATEDCONCEPT
Semantics in Business Vocabulary and Business Rules,Semantics in Business Vocabulary and Business Rules,SBVR,,standard,A meta model and standard vocabulary for specifying business rules.,,,
semiotics,semiotics,,,linguistics,"A branch of linguistics primarily concerned with human use of sign, symbol, syntax, and semantics.",,,
sentient,sentient,,,philosophy of mind,"Capable of reasoning. Alternative definition includes being capable of feeling, but that has no applicability for business systems.",,,
service-oriented architecture,service-oriented architecture,SOA,,,"Application architecture organized around the use of services, including Web services.",,,Business Process Execution Language
service-oriented integration,service-oriented integration,SOI,,service-oriented integration,Performing EAI using service-based technologies.,,,
SHACL,SHACL,SHACL,,standards; Semantic Web,,,,
shredding,shredding,,,XML,Parsing an XML document to is constituent parts to be stored atomically in a relational database.,,,
similarity,similarity,,,semantics,"Lexical relations of words with related meaning. For example, ""gluttonous"" is similar to ""greedy.""",,,
simple HTML ontology extension,simple HTML ontology extension,SHOE,,,An early project to extend HTML with semantic tags.,,,
Simple Knowledge Organization System,Simple Knowledge Organization System,SKOS,,"standards, semantic web",A standard for describing knowledge structures such as taxonomies and thesauri.,,,
simple object access protocol,simple object access protocol,SOAP,,,"Wrapper for Web service requests that allows them to be invoked across the  Internet, including through firewalls.",,,
slot,slot,,,ontology,A property in an ontology that can refer to other terms or frames.,,,
sophists,sophists,,,philosophy,"A group of philosophers who believed that the world existed only to the extent it was perceived. ""Man is the measure of all things"" was a saying of the sophists.",,,phenomenology
SPARQL,SPARQL,,,"standards, semantic web",Query language for RDF data.,,,
specialization,specialization,,,ontology,"Increasing semantic precision by subtyping. Almost an exact antonym to generalization, but there are a few obscure conditions where generalization and specialization are not inverses.",,,
splitters,splitters,,,ontology,People who are inclined to create new categories whenever new distinctions come up.,,,lumpers
standard generalized markup language,standard generalized markup language,SGML,,standards,"Early tagged document markup language. Was popular for complex document creation, but complexity of language led to it being largely superceded by HTML and XML.",,,
subsumption,subsumption,,,ontology,"To classify, include or incorporate in a more comprehensive category or under a general principle. The ""isa"" relationship.",,,lumpers
subtype,subtype,,,ontology,"A proper subtype ""is"" one of its parent types, more specifically a specialization of that type.",,,
suggested upper merged ontology,suggested upper merged ontology,SUMO,,,"A broad ontology meant to promote wide ranging interoperability, supported by IEEE.",,,
swoRDFish,swoRDFish,,,,"Ontology and framework for managing digital assets, from Sun Microsystems.",,,
syllogism,syllogism,,,logic,"A style of inductive logic, that starts with a generalization, includes a categorization and concludes with a semantic entailment or the instance taking on an attribute of the category.",All men are mortal (generalization). Socrates is a man (categorization). Socrates is mortal (XXX).,,
symbolic,symbolic,,,"AI, semantics",Semantic reasoning with variables substituted for semantically known objects. Conclusions drawn at this level are universally true.,,,
symmetric,symmetric,,,description logic,Characteristic of a property which has it hold “both ways.” ,"“Sibling” is a symmetric property, but “sister” is not.",,
synchronous,synchronous,,,,"Message transmission where sender blocks and waits for reply, which is expected in near real time.",,,
synonymy,synonymy,,,ontology,"Two terms that mean the same thing. As pointed out by John Saeed*, there are few true synonyms.",,,
syntactic,syntactic,,,grammar,Concerning the grammar order or special characters in a document or message.,,,
tacit,tacit,,,semantics,That which has not been expressed in formal terms. Tacit knowledge may be knowledge we have without knowing that we have it.,,,
tag,tag,,,markup,"Delimiters that also contain information. Most common type are matched tags such as <t>42</t>, which is the number 42 tagged by the tag ""t.""",,,
TARQL,TARQL,TARQL,,standards; Semantic Web,,,,
taxonomy,taxonomy,,,lexicography,"A vocabulary ordered into a hierarchy, generally to find terms easily, and also to subtype the terms.",,,
temporal,temporal,,,,Dealing with time. ,"Events, plans",,
terminology box,terminology box,,"Tbox, T-Box",modeling,Inference that can be done with the Terminology (metadata) layer only.,,TBox statements are sometimes associated with object-oriented classes and ABox statements associated with instances of those classes.,"Abox, Cbox"
text,text,,,,A portion of a document expressed in characters (as opposed to sound or graphics).,,,
thing,thing,,,modeling,Very often the top of a generalization tree.,,,class
Tim Berners-Lee,Tim Berners-Lee,TBL,,,WWW inventor; often goes by his initials.,,,
transactive,transactive,,,description logic(s),A characteristic of a property which allows it to be recursive. ,"“Ancestor” is a transitive property, but “parent” is not.",,
tree,tree,,,modeling,A directed graph in which nodes are not referred to by more than one node.,,Children do not have more than one parent.,
triple,triple,,,"Semantic Web, RDF",A single combination of Subject/Predicate/Object.,,,
